Occupation,Employment level - November 2021 ('000),Projected employment level - November 2026 ('000),Projected employment growth - five years to November 2026 ('000),Projected employment growth - five years to November 2026 (%),,
Caravan Park and Camping Ground Managers,4.2,4.4,0.1,3.0,,
Hotel and Motel Managers,18.6,19.0,0.4,2.2,,
Licensed Club Managers,5.5,5.4,-0.1,-1.7,,
Other Accommodation and Hospitality Managers,9.8,9.9,0.1,1.1,,
Accommodation and Hospitality Managers nfd,0.1,0.2,0.0,27.8,,
Retail Managers,234.4,235.1,0.7,0.3,,
Retail Managers,234.4,235.1,0.7,0.3,,
"Miscellaneous Hospitality, Retail and Service Managers",178.4,188.3,9.9,5.5,,
"Amusement, Fitness and Sports Centre Managers",8.3,9.7,1.5,17.7,,
Call or Contact Centre and Customer Service Managers,42.1,43.6,1.4,3.4,,
Conference and Event Organisers,22.0,24.3,2.4,10.7,,
Transport Services Managers,11.3,11.7,0.4,3.8,,
"Other Hospitality, Retail and Service Managers",100.3,104.5,4.2,4.2,,
"Miscellaneous Hospitality, Retail and Service Managers nfd",0.1,0.1,0.0,0.0,,
"Hospitality, Retail and Service Managers nfd",0.1,0.1,0.0,-5.0,,
"Hospitality, Retail and Service Managers nfd",0.1,0.1,0.0,-5.0,,
Managers nfd,5.1,5.1,0.0,0.0,,
Managers nfd,5.1,5.1,0.0,0.0,,
Managers nfd,5.1,5.1,0.0,0.0,,
PROFESSIONALS,3367.0,3861.2,494.2,14.7,,
Arts and Media Professionals,107.7,116.4,8.7,8.0,,
Arts Professionals,56.1,61.1,4.9,8.8,,
"Actors, Dancers and Other Entertainers",3.5,3.5,0.0,0.1,,
Music Professionals,24.9,27.1,2.2,8.7,,
Photographers,14.6,14.8,0.2,1.0,,
Visual Arts and Crafts Professionals,15.2,17.8,2.7,17.5,,
Arts Professionals nfd,0.9,0.9,0.0,-4.8,,
Media Professionals,51.0,54.8,3.7,7.3,,
"Artistic Directors, and Media Producers and Presenters",12.9,13.0,0.1,0.8,,
"Authors, and Book and Script Editors",6.6,7.4,0.7,11.0,,
"Film, Television, Radio and Stage Directors",15.7,17.4,1.7,11.0,,
Journalists and Other Writers,16.3,17.5,1.2,7.1,,
Media Professionals nfd,0.1,0.1,0.0,-0.1,,
Arts and Media Professionals nfd,0.1,0.1,0.0,16.2,,
Arts and Media Professionals nfd,0.1,0.1,0.0,16.2,,
"Business, Human Resource and Marketing Professionals",819.0,925.4,106.4,13.0,,
"Accountants, Auditors and Company Secretaries",231.3,257.0,25.7,11.1,,
Accountants,194.9,212.8,17.9,9.2,,
"Auditors, Company Secretaries and Corporate Treasurers",36.3,44.0,7.7,21.3,,
"Accountants, Auditors and Company Secretaries nfd",1.5,1.6,0.1,6.5,,
"Financial Brokers and Dealers, and Investment Advisers",121.5,134.5,13.0,10.7,,
Financial Brokers,42.0,48.0,6.0,14.2,,
Financial Dealers,20.7,21.0,0.3,1.7,,
Financial Investment Advisers and Managers,62.1,68.8,6.7,10.7,,
"Financial Brokers and Dealers, and Investment Advisers nfd",0.1,0.1,0.0,0.5,,
Human Resource and Training Professionals,103.1,114.8,11.7,11.3,,
Human Resource Professionals,78.9,89.1,10.3,13.1,,
ICT Trainers,1.3,1.1,-0.2,-14.8,,
Training and Development Professionals,21.7,23.3,1.6,7.4,,
Human Resource and Training Professionals nfd,0.1,0.1,0.0,2.7,,
Information and Organisation Professionals,216.0,264.1,48.1,22.3,,
"Actuaries, Mathematicians and Statisticians",16.7,18.5,1.8,11.0,,
"Archivists, Curators and Records Managers",6.0,6.1,0.1,2.1,,
Economists,6.8,6.7,0.0,-0.7,,
Intelligence and Policy Analysts,28.5,31.0,2.5,8.7,,
Land Economists and Valuers,13.2,14.8,1.6,12.2,,
Librarians,11.0,11.7,0.6,5.9,,
Management and Organisation Analysts,87.4,115.6,28.2,32.2,,
Other Information and Organisation Professionals,50.5,63.8,13.3,26.2,,
Information and Organisation Professionals nfd,0.1,0.1,0.0,21.8,,
"Sales, Marketing and Public Relations Professionals",146.2,154.0,7.9,5.4,,
Advertising and Marketing Professionals,80.2,89.3,9.2,11.4,,
ICT Sales Professionals,12.7,12.8,0.1,0.9,,
Public Relations Professionals,22.2,21.6,-0.6,-2.6,,
Technical Sales Representatives,30.9,30.1,-0.8,-2.6,,
"Sales, Marketing and Public Relations Professionals nfd",0.2,0.2,0.0,5.4,,
"Business, Human Resource and Marketing Professionals nfd",0.1,0.1,0.0,24.5,,
"Business, Human Resource and Marketing Professionals nfd",0.1,0.1,0.0,24.5,,
